trial_number,params,val_fitness,train_fitness,gen_gap,final_score,val_mean_recall,val_min_recall,n_iterations
0,"{'W_CHAR': 1, 'W_WORD': 10, 'W_BI': 15, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 32}",0.8164734594912207,0.9809933809758895,0.16451992148466876,0.6896935772642176,0.8629227791628344,0.7855072463768116,25
1,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 15, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8126218069231688,0.9784851838878111,0.16586337696464237,0.6838267414762051,0.8706849520905308,0.7739130434782608,16
2,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 64, 'hidden_2': 32}",0.8607900297568236,0.9863453310696978,0.12555530131287418,0.7924570777875124,0.8998011613485808,0.8347826086956521,28
3,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 10, 'W_POS': 0, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.001, 'hidden_1': 128, 'hidden_2': 64}",0.758675976674027,0.9722908476565586,0.21361487098253162,0.5582536702002295,0.8227768982068064,0.7159420289855073,18
4,"{'W_CHAR': 1, 'W_WORD': 8, 'W_BI': 15, 'W_TRI': 0, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 64}",0.8015522513880965,0.9794604615272455,0.17790821013914904,0.654689936179373,0.8560545415137195,0.7652173913043478,28
5,"{'W_CHAR': 2, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 10, 'W_POS': 4, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8259285193681563,0.9807244208086535,0.15479590144049726,0.7137346672074103,0.8691691245073472,0.7971014492753623,29
6,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 15, 'W_TRI': 15, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.7566622956207698,0.9746735800167047,0.21801128439593487,0.5496453690268676,0.8090470433997505,0.7217391304347827,16
7,"{'W_CHAR': 2, 'W_WORD': 4, 'W_BI': 15, 'W_TRI': 10, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.0001, 'hidden_1': 64, 'hidden_2': 64}",0.8266787909992699,0.9784462119544449,0.15176742095517504,0.7190276595665073,0.8623491514112182,0.8028985507246377,20
8,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 15, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.0001, 'hidden_1': 64, 'hidden_2': 64}",0.7287083050896961,0.9699071147068387,0.24119880961714257,0.4869100906639823,0.7913359801155444,0.6869565217391305,30
9,"{'W_CHAR': 1, 'W_WORD': 4, 'W_BI': 0, 'W_TRI': 15, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 64}",0.7417965362147453,0.973117590794288,0.23132105457954266,0.5148149543454313,0.8066652535803415,0.6985507246376812,15
10,"{'W_CHAR': 3, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8464680204116117,0.9847757419777681,0.13830772156615634,0.7590064380623772,0.8900830945072901,0.8173913043478261,15
11,"{'W_CHAR': 3, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8464680204116117,0.9847757419777681,0.13830772156615634,0.7590064380623772,0.8900830945072901,0.8173913043478261,15
12,"{'W_CHAR': 3, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8464680204116117,0.9847757419777681,0.13830772156615634,0.7590064380623772,0.8900830945072901,0.8173913043478261,15
13,"{'W_CHAR': 3, 'W_WORD': 10, 'W_BI': 5, 'W_TRI': 0, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8464680204116117,0.9847757419777681,0.13830772156615634,0.7590064380623772,0.8900830945072901,0.8173913043478261,15
14,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 0, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8563776555644438,0.9831084759931787,0.12673082042873496,0.7862814249213413,0.8931180519545877,0.8318840579710145,15
15,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8604771599996675,0.9844844889796651,0.12400732897999767,0.794466166529671,0.8903233347817774,0.8405797101449275,15
16,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 32}",0.8434621397483986,0.9820141610712954,0.1385520213228968,0.7556341077640534,0.8825683928492574,0.8173913043478261,34
17,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8653035673349232,0.9838415552265998,0.11853798789167658,0.8074965854974083,0.8936937009460038,0.8463768115942029,23
18,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8590599903830994,0.9847111876133279,0.12565119723022844,0.7905831945377568,0.8867804107403573,0.8405797101449275,14
19,"{'W_CHAR': 3, 'W_WORD': 4, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 128, 'hidden_2': 32}",0.84980302328274,0.9833569505534986,0.13355392727075854,0.7694721323766023,0.8897249495111982,0.8231884057971014,15
20,"{'W_CHAR': 3, 'W_WORD': 8, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 128, 'hidden_2': 32}",0.84521834396494,0.9841809986819694,0.1389626547170294,0.7567743618893958,0.8826110773036543,0.8202898550724638,15
21,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
22,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
23,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
24,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
25,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
26,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8146732186986612,0.9778322559551647,0.1631590372565035,0.6899346628139059,0.8584221771814353,0.7855072463768116,44
27,"{'W_CHAR': 1, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8456998974186114,0.9805282450312935,0.13482834761268214,0.7634573759995882,0.8707714826769632,0.8289855072463768,14
28,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8600469192509068,0.987481551305416,0.12743463205450922,0.788894971169143,0.8935955589968323,0.8376811594202899,22
29,"{'W_CHAR': 1, 'W_WORD': 4, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 32}",0.8127033250398551,0.9801874033813263,0.16748407834147117,0.6814772075276483,0.8578452691213768,0.782608695652174,15
30,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 15, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.7977301505267992,0.980866529558261,0.18313637903146185,0.6430255819796065,0.8508471154474327,0.7623188405797101,15
31,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
32,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8613908874815236,0.9832502691678184,0.12185938168629484,0.7986018149520813,0.8926076534864177,0.8405797101449275,22
33,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8598437912961499,0.9842488230416984,0.12440503174554851,0.7932362436778271,0.8930877391099398,0.8376811594202899,20
34,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8586728483635082,0.9851651694831955,0.12649232111968733,0.7889343666839772,0.8901603817783358,0.8376811594202899,24
35,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 15, 'W_TRI': 10, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8014265035559698,0.9778310428849621,0.17640453932899236,0.6568196945624812,0.8557401719334027,0.7652173913043478,18
36,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.8488591261557787,0.9841118337859669,0.13525270763018815,0.7659800647104965,0.8873652066937947,0.8231884057971014,14
37,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 0, 'W_TRI': 10, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.001, 'hidden_1': 64, 'hidden_2': 32}",0.7740999552706518,0.9754394472488173,0.20133949197816547,0.5920907173034036,0.8222064099157599,0.7420289855072464,19
38,"{'W_CHAR': 3, 'W_WORD': 6, 'W_BI': 15, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8384851081132099,0.982761342349199,0.14427623423598912,0.7420707567592262,0.8788214659351984,0.8115942028985508,21
39,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 2, 'CHAR_MAX': 4, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.837124824830668,0.9817153288506317,0.14459050401996376,0.7402390688007223,0.8841164099027566,0.8057971014492754,14
40,"{'W_CHAR': 1, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 15, 'W_POS': 6, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.7872950613803944,0.9757158468835407,0.18842078550314634,0.6246638831256749,0.8291072186683773,0.7594202898550725,34
