trial,train_mean_recall,val_mean_recall,val_min_recall,val_balanced_acc,overfitting,fitness,W_CHAR,W_WORD,W_BI,W_TRI,W_POS,CHAR_MIN,CHAR_MAX,alpha,learning_rate_init,activation,hidden_1,hidden_2
0,0.9884794848004715,0.873408941461766,0.808695652173913,0.873408941461766,0.11507054333870559,0.8030596830060573,1,10,11,9,1,2,4,0.029154431891537533,0.0015930522616241021,relu,256,112
1,0.9875667965231906,0.8685451722128869,0.7855072463768116,0.8685451722128869,0.11902162431030372,0.7975229823069123,0,5,2,4,3,2,4,0.0028016351587162596,0.00019010245319870352,tanh,128,104
2,0.9649787416128494,0.8574874884884338,0.8198019801980198,0.8574874884884338,0.10749125312441554,0.8102362094391018,0,7,9,0,4,2,4,0.06245139574743072,0.00853618986286683,relu,48,96
3,0.9883844536152129,0.8853772384475193,0.8028985507246377,0.8853772384475193,0.10300721516769362,0.8161300245468078,1,4,7,0,6,2,5,0.00017654048052495074,0.001096821720752952,relu,256,104
4,0.9870324296108159,0.8768754235676532,0.7971014492753623,0.8768754235676532,0.1101570060431627,0.8148647282583845,3,10,9,14,0,2,4,0.0002001342062287998,0.0005989003672254305,tanh,112,48
5,0.9855461331865218,0.8631662579931644,0.7333333333333333,0.8631662579931644,0.12237987519335747,0.7764264429985361,2,4,12,1,6,3,4,1.0521761868451132e-05,0.004274869455295219,tanh,208,24
6,0.9818243565679744,0.8388430687269448,0.7391304347826086,0.8388430687269448,0.1429812878410296,0.754038634623129,1,4,13,9,2,2,4,0.00019986340778528852,0.002878805718308925,tanh,144,24
7,0.9864586846576294,0.8620258418053439,0.7681159420289855,0.8620258418053439,0.12443284285228551,0.7882364504462936,2,9,8,12,3,3,4,1.263794633808287e-05,0.00016435497475111326,tanh,96,72
8,0.9825013132830768,0.8613277190097627,0.7420289855072464,0.8613277190097627,0.12117359427331409,0.7723513018223508,3,5,6,12,1,2,4,4.414536876494478e-05,0.007234279845665418,relu,240,112
9,0.9841537777206497,0.8401660853101628,0.7420289855072464,0.8401660853101628,0.14398769241048692,0.7585311091640443,0,10,8,12,6,2,4,8.160948743089913e-05,0.0007148510793512986,tanh,32,72
10,0.9886843842765589,0.8866901858321969,0.8115942028985508,0.8866901858321969,0.10199419844436197,0.8221642917299221,1,7,3,5,5,3,5,0.0031356971313563605,0.0004672941588975314,relu,192,128
11,0.9888012373389198,0.8914195036204575,0.8173913043478261,0.8914195036204575,0.09738173371846226,0.8295201769794369,1,7,3,4,5,3,5,0.0018350958266512539,0.000367379047963134,relu,192,128
12,0.9876041378598726,0.8832216690791852,0.8376811594202899,0.8832216690791852,0.10438246878068735,0.8263682817911729,1,7,0,5,5,3,5,0.003094352699697091,0.0003357073931641557,relu,192,128
13,0.9901658521425504,0.8962198172762942,0.8376811594202899,0.8962198172762942,0.09394603486625619,0.8414852024863647,2,8,0,5,4,3,5,0.008441839148350096,0.0002915523016599591,relu,176,128
14,0.9877973951824779,0.8935909035884723,0.8347826086956521,0.8935909035884723,0.09420649159400563,0.8410451693236234,2,8,4,3,4,3,5,0.011952722161896672,0.00010049516787337589,relu,176,80
15,0.988593973083428,0.8881471442181298,0.808695652173913,0.8881471442181298,0.10044682886529821,0.8270882821722156,2,8,0,7,4,3,5,0.01465558531688597,0.00011019277192736001,relu,160,80
16,0.9911934089627473,0.9036061303653753,0.8608695652173913,0.9036061303653753,0.08758727859737203,0.861591521522294,3,8,5,2,4,3,5,0.01715850511705573,0.00010625861767989703,relu,160,48
17,0.9891836974828846,0.8827284427599558,0.8057971014492754,0.8827284427599558,0.10645525472292883,0.8250214130052872,3,8,15,2,2,3,5,0.09135336710883911,0.00025902640983886617,relu,80,48
18,0.988224738497616,0.8874658930898989,0.8173913043478261,0.8874658930898989,0.10075884540771718,0.8274640937634183,3,6,5,6,4,3,5,0.007989364715019574,0.00016753442591353868,relu,224,48
19,0.9892620018496504,0.8860421730899877,0.8260869565217391,0.8860421730899877,0.10321982875966274,0.8314456937396817,3,9,1,8,2,3,5,0.0007607279972548389,0.00026927562302001543,relu,144,56
20,0.9902011898352431,0.8934885602075346,0.8463768115942029,0.8934885602075346,0.09671262962770844,0.8471987208096807,2,9,5,2,3,3,5,0.0006768710467893142,0.0009884382181459721,relu,160,16
21,0.9901431068039342,0.8888959718228862,0.8318840579710145,0.8888959718228862,0.10124713498104809,0.8373688301768005,2,9,5,2,3,3,5,0.0005767344855922646,0.0016477151944451268,relu,160,16
22,0.9907323041787518,0.9022045560479913,0.8492753623188406,0.9022045560479913,0.08852774813076048,0.8574619238638658,2,8,2,2,4,3,5,0.0061949580810207825,0.0009538992562057897,relu,160,32
23,0.9887436151707429,0.9001155457829637,0.8521739130434782,0.9001155457829637,0.08862806938777923,0.8584190212672285,3,9,4,2,3,3,5,0.02174395270494129,0.0009661782600669516,relu,128,32
24,0.9896802595545747,0.8978591063040331,0.8405797101449275,0.8978591063040331,0.09182115325054163,0.8525647108310306,3,8,2,3,5,3,5,0.030374159278337528,0.0026710037015496004,relu,112,32
